trade_date,candidate_index,symbol,name,涨幅%,source,pattern_match,pattern_ids,pattern_id,phase1_score_100,phase2_score_100,phase4_score_100,phase4_5d_mean,phase4_5d_std,phase8_score_100,phase5_score_100,ATR%,建议总仓位%,macd_cross_state,macd_divergence_state,volume_price_divergence_state,macd_top_divergence_15d,macd_bottom_divergence_15d,macd_top_divergence_signal_date,macd_bottom_divergence_signal_date,bullish_volume_price_divergence_flag,bearish_volume_price_divergence_flag,macd,macd_signal_line,macd_hist,ATR14,1ATR止损参考,2ATR止损参考,2ATR止盈参考,3ATR止盈参考,波动分层,phase2_is_cusum_event,phase1_center_score,phase2_center_score,centered_risk_score,phase4_composite_score,phase4_composite_rank,phase7_score_100,phase7_trade_permission,phase1_feature_trade_date,phase1_model_name,phase1_model_version,phase2_feature_trade_date,phase2_model_name,phase2_model_version,phase4_feature_trade_date,phase4_model_name,phase4_model_version,phase8_rank,phase8_top5_rank,phase8_feature_trade_date,phase8_model_name,phase8_model_version,today_limit_up_excluded,today_high_return_vs_prev_close,today_close_return_vs_prev_close,phase7_feature_trade_date,phase7_model_name,phase7_model_version,trade_permission,next_open_trade_permission,next_open_trade_warning,trade_permission_note,reason,patterns,old_high_date,old_high_price,days_since_old_high,max_drawdown_since_old_high,distance_to_old_high_pct,breakout_date,breakout_volume_ratio,breakout_close_position,breakout_upper_shadow_pct,breakout_body_pct,breakout_turnover,breakout_turnover_state,extension_above_old_high_pct,days_after_breakout,post_breakout_max_high_extension_pct,duck_peak_date,duck_peak_price,days_since_duck_peak,neck_start_date,neck_return_pct,neck_low_to_peak_return_pct,pullback_low_date,pullback_low_price,peak_to_pullback_drawdown_pct,nostril_cross_date,days_since_nostril_cross,cross_after_pullback_low_days,nostril_cross_ma5_ma10_gap_pct,latest_ma5_ma10_gap_pct,nostril_volume_ma20_ratio,distance_to_duck_peak_pct,pullback_volume_peak_tail_ratio,pullback_back_half_volume_ratio,pullback_max_single_day_peak_tail_ratio,large_bearish_count,max_bearish_body_pct,max_bearish_volume_ratio,distance_to_ma20,volume_ratio_20,recent_high_date,recent_high_price,days_since_recent_high,distance_from_recent_high_pct,ma20_slope_short_pct,ma20_slope_long_pct,ma60_slope_short_pct,ma60_slope_long_pct,pullback_volume_contraction_ratio,ma20_touch_date,ma20_touch_distance,pattern6_branch,anchor_date,anchor_close,support_price,anchor_volume_ratio_prev,anchor_volume_ratio_ma20,launch_confirm_high_date,launch_confirm_high_price,launch_confirm_return_pct,peak_date,peak_price,anchor_to_peak_return_pct,limit_up_like_count,pullback_volume_ratio_to_anchor,pullback_front_half_avg_volume,pullback_back_half_avg_volume,rise_tail_avg_volume,pullback_max_volume,pullback_max_rise_tail_volume_ratio,support_touch_date,source_tags,phase4_5d_mean_rank,phase4_5d_mean_top5,交易日期,收盘价,连续上榜天数
2026-05-13,1,"=""000301""",东方盛虹,-0.9266,pattern,True,"[""5""]",5,70.56,60.52,96.85,94.0,4.07,86.09,69.01,3.45,34.1,dead_cross,none,none,False,False,,,False,False,0.3644,0.3699,-0.011,0.4427,12.3873,11.9447,13.7153,14.158,中等波动,0,81.12,61.04,110.6644,110.6644,33.0,100.0,allow,2026-05-13,logistic_regression,tail_risk_phase1_v1,2026-05-13,lightgbm_classifier,barrier_risk_phase2_v1,2026-05-13,lightgbm_regressor,alpha158_qlib_return_phase4_v1,399.0,,2026-05-13,lightgbm_regressor,limit_up_3d_opportunity_phase8_v1,False,0.0077,-0.0093,2026-05-13,naive_bayes,trade_day_gate_phase7_v1,allow,allow,False,Phase7 判断当日买点环境允许交易。,"recent 10d high on 2026-04-30 at 13.48, MA20 touch on 2026-05-13, latest distance=-4.82%, vol5_20=0.89","[{""pattern_id"": 5, ""reason"": ""recent 10d high on 2026-04-30 at 13.48, MA20 touch on 2026-05-13, latest distance=-4.82%, vol5_20=0.89"", ""close"": 12.83, ""distance_to_ma20"": 0.0235, ""volume_ratio_20"": 0.8249, ""recent_high_date"": ""2026-04-30"", ""recent_high_price"": 13.48, ""days_since_recent_high"": 6.0, ""distance_from_recent_high_pct"": -0.0482, ""ma20_slope_short_pct"": 0.0053, ""ma20_slope_long_pct"": 0.0826, ""ma60_slope_short_pct"": 0.0002, ""ma60_slope_long_pct"": 0.0079, ""pullback_volume_contraction_ratio"": 0.8884, ""ma20_touch_date"": ""2026-05-13"", ""ma20_touch_distance"": 0.124}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0235,0.8249,2026-04-30,13.48,6.0,-0.0482,0.0053,0.0826,0.0002,0.0079,0.8884,2026-05-13,0.124,,,,,,,,,,,,,,,,,,,,,"[""pattern""]",17.0,False,2026-05-13,12.83,1
2026-05-13,2,"=""000810""",创维数字,0.0789,pattern,True,"[""5""]",5,62.93,55.96,92.57,74.85,16.7,58.07,57.01,2.78,40.0,dead_cross,top_divergence,none,True,False,2026-05-12,,False,False,0.3414,0.3719,-0.0609,0.3524,12.3276,11.9752,13.3848,13.7372,低波动,0,65.86,51.92,104.0692,104.0692,120.0,100.0,allow,2026-05-13,logistic_regression,tail_risk_phase1_v1,2026-05-13,lightgbm_classifier,barrier_risk_phase2_v1,2026-05-13,lightgbm_regressor,alpha158_qlib_return_phase4_v1,1201.0,,2026-05-13,lightgbm_regressor,limit_up_3d_opportunity_phase8_v1,False,0.0071,0.0008,2026-05-13,naive_bayes,trade_day_gate_phase7_v1,allow,allow,False,Phase7 判断当日买点环境允许交易。,"recent 10d high on 2026-04-27 at 13.08, MA20 touch on 2026-05-13, latest distance=-3.06%, vol5_20=0.72","[{""pattern_id"": 5, ""reason"": ""recent 10d high on 2026-04-27 at 13.08, MA20 touch on 2026-05-13, latest distance=-3.06%, vol5_20=0.72"", ""close"": 12.68, ""distance_to_ma20"": 0.0121, ""volume_ratio_20"": 0.5978, ""recent_high_date"": ""2026-04-27"", ""recent_high_price"": 13.08, ""days_since_recent_high"": 9.0, ""distance_from_recent_high_pct"": -0.0306, ""ma20_slope_short_pct"": 0.0027, ""ma20_slope_long_pct"": 0.0709, ""ma60_slope_short_pct"": 0.0014, ""ma60_slope_long_pct"": 0.0139, ""pullback_volume_contraction_ratio"": 0.719, ""ma20_touch_date"": ""2026-05-13"", ""ma20_touch_distance"": 0.0615}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0121,0.5978,2026-04-27,13.08,9.0,-0.0306,0.0027,0.0709,0.0014,0.0139,0.719,2026-05-13,0.0615,,,,,,,,,,,,,,,,,,,,,"[""pattern""]",404.0,False,2026-05-13,12.68,2
2026-05-13,3,"=""001283""",豪鹏科技,-1.6629,pattern,True,"[""5""]",5,52.34,52.14,93.51,64.95,19.68,70.65,58.67,3.49,33.75,above_signal,bottom_divergence,none,False,True,,2026-04-30,False,False,1.6341,1.6293,0.0096,2.5764,71.3436,68.7672,79.0728,81.6493,中等波动,0,44.68,44.28,102.398,102.398,148.0,100.0,allow,2026-05-13,logistic_regression,tail_risk_phase1_v1,2026-05-13,lightgbm_classifier,barrier_risk_phase2_v1,2026-05-13,lightgbm_regressor,alpha158_qlib_return_phase4_v1,841.0,,2026-05-13,lightgbm_regressor,limit_up_3d_opportunity_phase8_v1,False,0.0043,-0.0166,2026-05-13,naive_bayes,trade_day_gate_phase7_v1,allow,allow,False,Phase7 判断当日买点环境允许交易。,"recent 10d high on 2026-04-30 at 77.99, MA20 touch on 2026-05-13, latest distance=-5.22%, vol5_20=0.93","[{""pattern_id"": 5, ""reason"": ""recent 10d high on 2026-04-30 at 77.99, MA20 touch on 2026-05-13, latest distance=-5.22%, vol5_20=0.93"", ""close"": 73.92, ""distance_to_ma20"": 0.0161, ""volume_ratio_20"": 0.9021, ""recent_high_date"": ""2026-04-30"", ""recent_high_price"": 77.99, ""days_since_recent_high"": 6.0, ""distance_from_recent_high_pct"": -0.0522, ""ma20_slope_short_pct"": 0.003, ""ma20_slope_long_pct"": 0.0439, ""ma60_slope_short_pct"": 0.0015, ""ma60_slope_long_pct"": 0.0104, ""pullback_volume_contraction_ratio"": 0.9302, ""ma20_touch_date"": ""2026-05-13"", ""ma20_touch_distance"": 0.36}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0161,0.9021,2026-04-30,77.99,6.0,-0.0522,0.003,0.0439,0.0015,0.0104,0.9302,2026-05-13,0.36,,,,,,,,,,,,,,,,,,,,,"[""pattern""]",792.0,False,2026-05-13,73.92,1
2026-05-13,4,"=""002591""",恒大高新,-0.2212,pattern,True,"[""1""]",1,9.31,3.08,98.9,50.82,41.4,17.51,72.99,4.38,26.84,above_signal,none,bullish,False,False,,,True,False,0.5127,0.3005,0.4244,0.3953,8.6247,8.2293,9.8107,10.206,中等波动,0,0.0,0.0,98.9,98.9,,100.0,allow,2026-05-13,logistic_regression,tail_risk_phase1_v1,2026-05-13,lightgbm_classifier,barrier_risk_phase2_v1,2026-05-13,lightgbm_regressor,alpha158_qlib_return_phase4_v1,2362.0,,2026-05-13,lightgbm_regressor,limit_up_3d_opportunity_phase8_v1,False,0.0332,-0.0022,2026-05-13,naive_bayes,trade_day_gate_phase7_v1,allow,allow,False,Phase7 判断当日买点环境允许交易。,"near old high 9.44 from 2025-12-31, distance=4.45%, drawdown=33.79%, vol20=1.30","[{""pattern_id"": 1, ""reason"": ""near old high 9.44 from 2025-12-31, distance=4.45%, drawdown=33.79%, vol20=1.30"", ""close"": 9.02, ""old_high_date"": ""2025-12-31"", ""old_high_price"": 9.44, ""days_since_old_high"": 83.0, ""max_drawdown_since_old_high"": 0.3379, ""distance_to_old_high_pct"": 0.0445, ""extension_above_old_high_pct"": 0.0, ""volume_ratio_20"": 1.3031}]",2025-12-31,9.44,83.0,0.3379,0.0445,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.3031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""pattern""]",1481.0,False,2026-05-13,9.02,1
2026-05-13,5,"=""002443""",金洲管道,1.1895,pattern,True,"[""1""]",1,46.58,9.71,95.15,90.13,7.44,43.12,80.79,4.41,26.71,above_signal,none,bullish,False,False,,,True,False,0.7419,0.6816,0.1207,0.5246,11.3854,10.8607,12.9593,13.4839,中等波动,0,33.16,0.0,97.8028,97.8028,,100.0,allow,2026-05-13,logistic_regression,tail_risk_phase1_v1,2026-05-13,lightgbm_classifier,barrier_risk_phase2_v1,2026-05-13,lightgbm_regressor,alpha158_qlib_return_phase4_v1,1629.0,,2026-05-13,lightgbm_regressor,limit_up_3d_opportunity_phase8_v1,False,0.0153,0.0119,2026-05-13,naive_bayes,trade_day_gate_phase7_v1,allow,allow,False,Phase7 判断当日买点环境允许交易。,"near old high 12.41 from 2016-10-26, distance=4.03%, drawdown=67.20%, vol20=0.65","[{""pattern_id"": 1, ""reason"": ""near old high 12.41 from 2016-10-26, distance=4.03%, drawdown=67.20%, vol20=0.65"", ""close"": 11.91, ""old_high_date"": ""2016-10-26"", ""old_high_price"": 12.41, ""days_since_old_high"": 2256.0, ""max_drawdown_since_old_high"": 0.672, ""distance_to_old_high_pct"": 0.0403, ""extension_above_old_high_pct"": 0.0, ""volume_ratio_20"": 0.6467}]",2016-10-26,12.41,2256.0,0.672,0.0403,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.6467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""pattern""]",47.0,False,2026-05-13,11.91,1
2026-05-13,6,"=""603906""",龙蟠科技,-0.4072,pattern,True,"[""5""]",5,4.12,17.05,96.95,72.43,35.81,6.6,74.83,6.44,18.27,below_signal,none,bearish,False,False,,,False,True,2.1856,2.5909,-0.8106,1.8901,27.4599,25.5699,33.1301,35.0202,高波动,0,0.0,0.0,96.95,96.95,,100.0,allow,2026-05-13,logistic_regression,tail_risk_phase1_v1,2026-05-13,lightgbm_classifier,barrier_risk_phase2_v1,2026-05-13,lightgbm_regressor,alpha158_qlib_return_phase4_v1,2674.0,,2026-05-13,lightgbm_regressor,limit_up_3d_opportunity_phase8_v1,False,0.0238,-0.0041,2026-05-13,naive_bayes,trade_day_gate_phase7_v1,allow,allow,False,Phase7 判断当日买点环境允许交易。,"recent 10d high on 2026-04-30 at 34.52, MA20 touch on 2026-05-13, latest distance=-14.98%, vol5_20=0.84","[{""pattern_id"": 5, ""reason"": ""recent 10d high on 2026-04-30 at 34.52, MA20 touch on 2026-05-13, latest distance=-14.98%, vol5_20=0.84"", ""close"": 29.35, ""distance_to_ma20"": 0.0178, ""volume_ratio_20"": 0.6792, ""recent_high_date"": ""2026-04-30"", ""recent_high_price"": 34.52, ""days_since_recent_high"": 6.0, ""distance_from_recent_high_pct"": -0.1498, ""ma20_slope_short_pct"": 0.0127, ""ma20_slope_long_pct"": 0.1876, ""ma60_slope_short_pct"": 0.0084, ""ma60_slope_long_pct"": 0.1032, ""pullback_volume_contraction_ratio"": 0.8389, ""ma20_touch_date"": ""2026-05-13"", ""ma20_touch_distance"": 0.022}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0178,0.6792,2026-04-30,34.52,6.0,-0.1498,0.0127,0.1876,0.0084,0.1032,0.8389,2026-05-13,0.022,,,,,,,,,,,,,,,,,,,,,"[""pattern""]",480.0,False,2026-05-13,29.35,1
2026-05-13,7,"=""600641""",先导基电,-1.5509,pattern,True,"[""1""]",1,6.1,6.13,94.64,30.67,33.73,13.07,71.95,4.76,24.7,above_signal,none,bullish,False,False,,,True,False,2.2713,2.1452,0.2521,1.3908,27.8092,26.4184,31.9816,33.3723,中等波动,0,0.0,0.0,94.64,94.64,,100.0,allow,2026-05-13,logistic_regression,tail_risk_phase1_v1,2026-05-13,lightgbm_classifier,barrier_risk_phase2_v1,2026-05-13,lightgbm_regressor,alpha158_qlib_return_phase4_v1,2489.0,,2026-05-13,lightgbm_regressor,limit_up_3d_opportunity_phase8_v1,False,0.0115,-0.0155,2026-05-13,naive_bayes,trade_day_gate_phase7_v1,allow,allow,False,Phase7 判断当日买点环境允许交易。,"near old high 30.15 from 2022-08-08, distance=3.15%, drawdown=69.86%, vol20=0.88","[{""pattern_id"": 1, ""reason"": ""near old high 30.15 from 2022-08-08, distance=3.15%, drawdown=69.86%, vol20=0.88"", ""close"": 29.2, ""old_high_date"": ""2022-08-08"", ""old_high_price"": 30.15, ""days_since_old_high"": 908.0, ""max_drawdown_since_old_high"": 0.6986, ""distance_to_old_high_pct"": 0.0315, ""extension_above_old_high_pct"": 0.0, ""volume_ratio_20"": 0.8758}]",2022-08-08,30.15,908.0,0.6986,0.0315,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.8758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""pattern""]",2372.0,False,2026-05-13,29.2,1
2026-05-13,8,"=""600150""",中国船舶,3.1358,pattern,True,"[""2""]",2,13.97,16.51,94.34,69.16,25.06,79.32,71.52,3.33,35.34,above_signal,none,bullish,False,False,,,True,False,2.0822,1.8221,0.5203,1.3907,40.3793,38.9885,44.5515,45.9422,中等波动,1,0.0,0.0,94.34,94.34,,100.0,allow,2026-05-13,logistic_regression,tail_risk_phase1_v1,2026-05-13,lightgbm_classifier,barrier_risk_phase2_v1,2026-05-13,lightgbm_regressor,alpha158_qlib_return_phase4_v1,593.0,,2026-05-13,lightgbm_regressor,limit_up_3d_opportunity_phase8_v1,False,0.038,0.0314,2026-05-13,naive_bayes,trade_day_gate_phase7_v1,allow,allow,False,Phase7 判断当日买点环境允许交易。,"price above old high 40.98 from 2025-08-19, post_breakout=8d, vol_ratio=1.09","[{""pattern_id"": 2, ""reason"": ""price above old high 40.98 from 2025-08-19, post_breakout=8d, vol_ratio=1.09"", ""close"": 41.77, ""old_high_date"": ""2025-08-19"", ""old_high_price"": 40.98, ""days_since_old_high"": 173.0, ""max_drawdown_since_old_high"": 0.2679, ""distance_to_old_high_pct"": -0.0193, ""breakout_date"": ""2026-04-28"", ""breakout_volume_ratio"": 1.0865, ""breakout_close_position"": 0.8077, ""breakout_upper_shadow_pct"": 0.1923, ""breakout_body_pct"": 0.7722, ""breakout_turnover"": 0.0433, ""breakout_turnover_state"": ""low"", ""extension_above_old_high_pct"": 0.0193, ""days_after_breakout"": 8.0, ""post_breakout_max_high_extension_pct"": 0.0508, ""volume_ratio_20"": 1.0997}]",2025-08-19,40.98,173.0,0.2679,-0.0193,2026-04-28,1.0865,0.8077,0.1923,0.7722,0.0433,low,0.0193,8.0,0.0508,,,,,,,,,,,,,,,,,,,,,,,,1.0997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""pattern""]",600.0,False,2026-05-13,41.77,2
