交易日期,编号,名称,涨幅%,来源路线,关切板块,契合主线,龙头指数,P1,P2,P4,混合分,Pattern,ATR%,建议仓位,长期主线指数,短期主线指数,P9买入分,P4五日均,P4五日std,macd
2026-05-18,"=""002792""",通宇通讯,3.9281,近期强势,中俄贸易概念/数字乡村/无人驾驶/华为汽车/人工智能/一带一路/毫米波雷达/换电概念/F5G概念/粤港澳大湾区/低空经济/乡村振兴/卫星导航/华为概念/汽车电子/6G概念/消费电子概念/商业航天/WiFi 6/5G/铜缆高速连接/虚拟电厂/储能/通信-通信设备/共封装光学(CPO),通信-通信设备,62.75,21.52,37.45,49.1,50.888,,0.07,17.65,94.97,67.14,34.38,83.0,18.92,above_signal
2026-05-18,"=""002796""",世嘉科技,-1.6548,近期强势,通信-通信设备,通信-通信设备,67.56,73.59,74.23,15.9,33.4896,,0.08,14.47,94.97,67.14,34.38,36.59,17.77,below_signal
2026-05-18,"=""002429""",兆驰股份,-0.3953,近期强势,深圳国企改革/MicroLED概念/汽车芯片/拼多多概念/MiniLED/短剧游戏/粤港澳大湾区/国企改革/小米概念/鸿蒙概念/智能音箱/抖音概念(字节概念)/人民币贬值受益/F5G概念/智能家居/消费电子概念/AI应用/AIGC概念/先进封装/阿里巴巴概念/WiFi 6/5G/第三代半导体/芯片概念/光纤概念,光纤概念,60.01,59.37,37.32,99.33,105.786,,0.06,20.99,95.66,70.13,31.62,79.82,33.68,above_signal
2026-05-18,"=""603042""",华脉科技,2.153,近期强势,互联网金融/智慧城市/智能医疗/物联网/F5G概念/WiFi 6/华为概念/铜缆高速连接/数据中心/光纤概念/5G,光纤概念,61.93,85.14,41.2,82.13,91.9956,,0.05,22.2,95.66,70.13,31.62,88.07,7.63,above_signal
2026-05-18,"=""600673""",东阳光,0.3287,近期强势,PVDF概念/煤炭概念/消毒剂/综合-综合Ⅱ/人形机器人/算力租赁/氟化工概念/华为概念/AI应用/超级电容/回购增持再贷款概念/储能/锂电池概念/东数西算(算力)/芯片概念/数据中心/液冷服务器,超级电容,76.82,23.86,52.28,90.7,96.0472,,0.06,18.89,90.08,72.4,30.17,71.13,20.75,dead_cross
2026-05-18,"=""002851""",麦格米特,-2.5053,近期强势,中国AI 50/高压快充/风电/超级电容/智能电网/充电桩/车联网(车路协同)/储能/光伏概念/英伟达概念/高铁/一带一路/小米概念/医疗器械概念/新型工业化/芯片概念/高端装备/机器人概念/智能家居/家用电器/新能源汽车/数据中心/长安汽车概念/第三代半导体,超级电容,83.02,27.95,45.45,84.71,88.418,,0.05,22.08,90.08,72.4,30.17,82.78,18.56,above_signal
2026-05-18,"=""002028""",思源电气,1.3526,近期强势,充电桩/抽水蓄能/储能/电力物联网/超级电容/智能电网/电力设备-电网设备,超级电容,62.91,32.33,64.39,22.32,30.9464,,0.05,22.28,90.08,72.4,30.17,29.66,12.78,below_signal
2026-05-18,"=""600577""",精达股份,0.5686,近期强势,ERP概念/高压快充/跨境支付(CIPS)/特斯拉概念/机器人概念/股权转让(并购重组)/移动支付/比亚迪概念/人形机器人/新能源汽车/工业互联网/可控核聚变/智能电网/电力设备-电网设备/军工/铜缆高速连接/数据中心/超导概念,铜缆高速连接,68.5,62.42,20.21,80.79,85.9772,,0.04,31.23,97.93,69.67,29.87,45.65,26.61,above_signal
2026-05-18,"=""002579""",中京电子,1.6845,近期强势,广东自贸区/养老概念/数字经济/MicroLED概念/AI手机/无人驾驶/医疗器械概念/创投/粤港澳大湾区/物联网/储能/MiniLED/海峡两岸/工业互联网,MiniLED,60.87,56.86,25.7,90.96,95.2576,,0.04,27.61,86.43,67.22,27.89,83.06,10.76,above_signal
2026-05-18,"=""600203""",福日电子,-0.2383,近期强势,国企改革/福建自贸区/海峡两岸/智慧灯杆/智能座舱/智能家居/抖音概念(字节概念)/小米概念/机器人概念/华为概念/MiniLED/无人机/柔性屏(折叠屏)/卫星导航/智能音箱/消费电子概念/汽车电子,MiniLED,63.97,55.82,67.54,70.05,83.1908,5,0.03,37.58,86.43,67.22,27.89,65.55,22.55,dead_cross
2026-05-18,"=""002913""",奥士康,-1.3683,近期强势,华为数字能源/MiniLED,MiniLED,64.58,86.55,50.6,47.56,59.456,,0.05,23.61,86.43,67.22,27.89,68.96,13.58,dead_cross
2026-05-18,"=""000969""",安泰科技,-0.5563,近期强势,有色金属-金属新材料/核污染防治/国企改革/无线充电/央企国企改革/碳纤维/创投/大飞机/燃料电池/MicroLED概念/一带一路/氢能源/航空发动机/京津冀一体化/飞行汽车(eVTOL)/核电/机器人概念/商业航天/3D打印/低空经济/军工/华为手机/稀土永磁/华为概念/中芯国际概念/海工装备/小米概念,中芯国际概念,61.06,68.17,46.69,76.77,86.8828,,0.03,37.59,86.83,72.68,27.3,61.98,19.49,above_signal
2026-05-18,"=""603163""",圣晖集成,0.2077,近期强势,一带一路/中芯国际概念/海峡两岸/芯片概念/富士康概念,中芯国际概念,72.95,93.54,28.61,64.16,69.9936,,0.06,21.18,86.83,72.68,27.3,49.2,19.23,above_signal
2026-05-18,"=""600619""",海立股份,-0.8743,近期强势,上海国企改革/冷链物流/上海自贸区/空气能热泵/家用电器/国企改革/汽车热管理/一带一路/家用电器-家电零部件Ⅱ/比亚迪概念/小米概念/新能源汽车/光刻机/芯片概念,光刻机,65.19,63.35,51.24,90.36,100.7936,,0.03,33.85,85.7,65.83,27.07,54.21,18.98,above_signal
2026-05-18,"=""600171""",上海贝岭,0.1366,近期强势,MCU芯片/国企改革/央企国企改革/汽车芯片/电子-半导体,电子-半导体,60.73,50.77,60.48,89.83,100.4684,,0.03,40.0,84.45,69.39,26.85,57.3,26.59,above_signal
2026-05-18,"=""603061""",金海通,-2.6373,近期强势,电子-半导体/专精特新/芯片概念,电子-半导体,75.76,99.67,56.93,82.66,93.976,,0.07,16.19,84.45,69.39,26.85,64.69,31.45,above_signal
2026-05-18,"=""603286""",日盈电子,-1.7608,近期强势,智能座舱/PM2.5/汽车-汽车零部件/传感器/新型工业化/长安汽车概念/智能家居/机器人概念/无人驾驶/工业互联网/汽车电子/人形机器人/比亚迪概念/新能源汽车/专精特新/芯片概念,PM2.5,80.82,63.59,57.63,20.38,32.3856,,0.05,23.59,75.78,75.68,25.95,29.29,25.24,above_signal
2026-05-18,"=""002256""",兆新股份,1.2371,近期强势,化肥/公用事业-电力/染料/绿色电力/光伏建筑一体化/AI手机/碳中和,AI手机,61.42,44.31,21.99,32.6,34.8896,,0.05,22.22,84.72,70.03,25.93,45.3,11.84,above_signal
2026-05-18,"=""002402""",和而泰,1.0526,近期强势,语音技术/汽车芯片/新型工业化/物联网/人工智能/粤港澳大湾区/家用电器/华为海思概念股/AI智能体/智能医疗/DeepSeek概念/长安汽车概念/汽车热管理/智能家居/智能座舱/储能/小米概念/机器人概念/军工/一带一路/人形机器人/商业航天/机器视觉/卫星导航/智能穿戴/比亚迪概念/汽车电子/5G/人民币贬值受益/第三代半导体/芯片概念,第三代半导体,67.33,49.0,64.66,70.68,82.0384,,0.04,33.5,92.01,66.1,24.8,73.26,4.36,dead_cross
2026-05-18,"=""002413""",雷科防务,0.7905,近期强势,国防军工-军工电子Ⅱ/大飞机/养老概念/车联网(车路协同)/无人驾驶/京津冀一体化/人工智能/军工信息化/商业航天/数据要素/华为概念/DeepSeek概念/毫米波雷达/无人机/低空经济/军工/太赫兹/比亚迪概念/6G概念/芯片概念/军民融合/汽车电子/卫星导航/5G/存储芯片/东数西算(算力),存储芯片,63.61,86.35,84.17,22.29,40.2732,,0.05,25.89,91.65,78.06,22.51,32.72,22.12,below_signal
