交易日期,序号,编号,名称,涨幅%,来源,行业,概念,Pattern命中,Pattern编号,Pattern主编号,P1风险质量分,P2交易风险分,P4上涨质量分,P4五日均分,P4五日std,ATR%,建议总仓位%,macd交叉,macd背离,量价背离,macd_top_divergence_15d,macd_bottom_divergence_15d,macd_top_divergence_signal_date,macd_bottom_divergence_signal_date,bullish_volume_price_divergence_flag,bearish_volume_price_divergence_flag,macd,macd_signal_line,macd_hist,ATR14,1ATR止损参考,2ATR止损参考,2ATR止盈参考,3ATR止盈参考,波动分层,CUSUM触发,P1接近80分,P2接近80分,P1/P2/P4综合分,综合排序分,综合排名,phase1_feature_trade_date,phase1_model_name,phase1_model_version,phase2_feature_trade_date,phase2_model_name,phase2_model_version,phase4_feature_trade_date,phase4_model_name,phase4_model_version,Pattern理由,Pattern详细,old_high_date,old_high_price,days_since_old_high,max_drawdown_since_old_high,distance_to_old_high_pct,breakout_date,breakout_volume_ratio,breakout_close_position,breakout_upper_shadow_pct,breakout_body_pct,breakout_turnover,breakout_turnover_state,extension_above_old_high_pct,days_after_breakout,post_breakout_max_high_extension_pct,pullback_low_date,pullback_low_price,peak_to_pullback_drawdown_pct,pullback_back_half_volume_ratio,distance_to_ma20,volume_ratio_20,recent_high_date,recent_high_price,days_since_recent_high,distance_from_recent_high_pct,ma20_slope_short_pct,ma20_slope_long_pct,ma60_slope_short_pct,ma60_slope_long_pct,pullback_volume_contraction_ratio,ma20_touch_date,ma20_touch_distance,pattern6_branch,anchor_date,anchor_close,support_price,anchor_volume_ratio_prev,anchor_volume_ratio_ma20,launch_confirm_high_date,launch_confirm_high_price,launch_confirm_return_pct,peak_date,peak_price,anchor_to_peak_return_pct,limit_up_like_count,pullback_volume_ratio_to_anchor,pullback_front_half_avg_volume,pullback_back_half_avg_volume,rise_tail_avg_volume,pullback_max_volume,pullback_max_rise_tail_volume_ratio,support_touch_date,来源标签,phase4_5d_mean_rank,phase4_5d_mean_top5,收盘价,连续上榜天数
2026-05-15,9,"=""000301""",东方盛虹,-0.3063,pattern,,POE胶膜/光伏概念/回购增持再贷款概念/工业互联网/煤化工概念/环氧丙烷/碳纤维/锂电池概念,True,"[""5""]",5,92.47,40.78,46.45,72.49,28.0,3.49,33.72,below_signal,none,none,False,False,,,False,False,0.3452,0.363,-0.0357,0.4543,12.5657,12.1114,13.9286,14.3829,中等波动,0,75.06,21.56,55.042,55.042,,2026-05-15,logistic_regression,tail_risk_phase1_v1,2026-05-15,lightgbm_classifier,barrier_risk_phase2_v1,2026-05-15,lightgbm_regressor,alpha158_qlib_return_phase4_v1,"recent 10d high on 2026-04-30 at 13.48, MA20 touch on 2026-05-14, latest distance=-3.41%, vol5_20=0.85","[{""pattern_id"": 5, ""reason"": ""recent 10d high on 2026-04-30 at 13.48, MA20 touch on 2026-05-14, latest distance=-3.41%, vol5_20=0.85"", ""close"": 13.02, ""distance_to_ma20"": 0.0242, ""volume_ratio_20"": 1.0411, ""recent_high_date"": ""2026-04-30"", ""recent_high_price"": 13.48, ""days_since_recent_high"": 8.0, ""distance_from_recent_high_pct"": -0.0341, ""ma20_slope_short_pct"": 0.0064, ""ma20_slope_long_pct"": 0.0781, ""ma60_slope_short_pct"": 0.0003, ""ma60_slope_long_pct"": 0.0057, ""pullback_volume_contraction_ratio"": 0.8541, ""ma20_touch_date"": ""2026-05-14"", ""ma20_touch_distance"": 0.089}]",,,,,,,,,,,,,,,,,,,,0.0242,1.0411,2026-04-30,13.48,8.0,-0.0341,0.0064,0.0781,0.0003,0.0057,0.8541,2026-05-14,0.089,,,,,,,,,,,,,,,,,,,,,"[""pattern""]",465.0,False,13.02,1
2026-05-15,10,"=""001313""",粤海饲料,-1.5201,pattern,,,True,"[""3""]",3,16.3,54.44,47.46,32.98,36.68,5.14,22.87,above_signal,none,none,False,False,,,False,False,0.3377,0.3119,0.0515,0.4666,8.6034,8.1367,10.0033,10.4699,中等波动,0,0.0,48.88,53.3256,53.3256,,2026-05-15,logistic_regression,tail_risk_phase1_v1,2026-05-15,lightgbm_classifier,barrier_risk_phase2_v1,2026-05-15,lightgbm_regressor,alpha158_qlib_return_phase4_v1,"post breakout 5d from 2026-05-08, below old high 9.25, vol_ratio=1.17","[{""pattern_id"": 3, ""reason"": ""post breakout 5d from 2026-05-08, below old high 9.25, vol_ratio=1.17"", ""close"": 9.07, ""old_high_date"": ""2025-12-08"", ""old_high_price"": 9.25, ""days_since_old_high"": 102.0, ""max_drawdown_since_old_high"": 0.3049, ""distance_to_old_high_pct"": 0.0195, ""breakout_date"": ""2026-05-08"", ""breakout_volume_ratio"": 1.1734, ""breakout_close_position"": 0.8023, ""breakout_upper_shadow_pct"": 0.1977, ""breakout_body_pct"": 0.7674, ""breakout_turnover"": 0.0601, ""breakout_turnover_state"": ""low"", ""extension_above_old_high_pct"": 0.0, ""days_after_breakout"": 5.0, ""post_breakout_max_high_extension_pct"": 0.0386, ""volume_ratio_20"": 0.9599}]",2025-12-08,9.25,102.0,0.3049,0.0195,2026-05-08,1.1734,0.8023,0.1977,0.7674,0.0601,low,0.0,5.0,0.0386,,,,,,0.9599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""pattern""]",2300.0,False,9.07,1
2026-05-15,11,"=""600790""",轻纺城,-0.905,pattern,商贸零售-一般零售,AI应用/AI智能体/一带一路/创投/参股银行/回购增持再贷款概念/国企改革/数字经济/智能物流/物业管理/跨境电商,True,"[""2""]",2,13.93,79.81,40.73,31.92,24.68,3.78,31.12,above_signal,none,none,False,False,,,False,False,0.2112,0.1863,0.0497,0.1656,4.2144,4.0487,4.7113,4.8769,中等波动,0,0.0,99.62,52.6844,52.6844,,2026-05-15,logistic_regression,tail_risk_phase1_v1,2026-05-15,lightgbm_classifier,barrier_risk_phase2_v1,2026-05-15,lightgbm_regressor,alpha158_qlib_return_phase4_v1,"price above old high 4.35 from 2025-04-24, post_breakout=7d, vol_ratio=1.18","[{""pattern_id"": 2, ""reason"": ""price above old high 4.35 from 2025-04-24, post_breakout=7d, vol_ratio=1.18"", ""close"": 4.38, ""old_high_date"": ""2025-04-24"", ""old_high_price"": 4.3479, ""days_since_old_high"": 254.0, ""max_drawdown_since_old_high"": 0.2165, ""distance_to_old_high_pct"": -0.0074, ""breakout_date"": ""2026-05-06"", ""breakout_volume_ratio"": 1.175, ""breakout_close_position"": 1.0, ""breakout_upper_shadow_pct"": 0.0, ""breakout_body_pct"": 0.9318, ""breakout_turnover"": 0.0413, ""breakout_turnover_state"": ""low"", ""extension_above_old_high_pct"": 0.0074, ""days_after_breakout"": 7.0, ""post_breakout_max_high_extension_pct"": 0.0866, ""volume_ratio_20"": 0.8031}]",2025-04-24,4.3479,254.0,0.2165,-0.0074,2026-05-06,1.175,1.0,0.0,0.9318,0.0413,low,0.0074,7.0,0.0866,,,,,,0.8031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""pattern""]",2350.0,False,4.38,1
2026-05-15,12,"=""600060""",海信视像,1.5955,pattern,家用电器-黑色家电,AI智能体/AI眼镜/DeepSeek概念/MCU芯片/MR(混合现实)/MicroLED概念/MiniLED/人工智能/元宇宙/商业航天/多模态AI/家用电器/数字经济/数据要素/智能家居/智能穿戴/机器人概念/汽车电子/消费电子概念/芯片概念/虚拟数字人/虚拟现实/高股息精选,True,"[""1""]",1,38.3,15.6,44.14,55.36,15.08,2.64,40.0,above_signal,none,none,False,False,,,False,False,0.6666,0.6363,0.0607,0.6729,24.7971,24.1243,26.8157,27.4886,低波动,0,16.6,0.0,45.468,45.468,,2026-05-15,logistic_regression,tail_risk_phase1_v1,2026-05-15,lightgbm_classifier,barrier_risk_phase2_v1,2026-05-15,lightgbm_regressor,alpha158_qlib_return_phase4_v1,"near old high 26.68 from 2025-11-14, distance=4.54%, drawdown=22.04%, vol20=1.26","[{""pattern_id"": 1, ""reason"": ""near old high 26.68 from 2025-11-14, distance=4.54%, drawdown=22.04%, vol20=1.26"", ""close"": 25.47, ""old_high_date"": ""2025-11-14"", ""old_high_price"": 26.68, ""days_since_old_high"": 118.0, ""max_drawdown_since_old_high"": 0.2204, ""distance_to_old_high_pct"": 0.0454, ""extension_above_old_high_pct"": 0.0, ""volume_ratio_20"": 1.2645}]",2025-11-14,26.68,118.0,0.2204,0.0454,,,,,,,,0.0,,,,,,,,1.2645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""pattern""]",1251.0,False,25.47,1
2026-05-15,13,"=""603985""",恒润股份,2.0755,pattern,,DeepSeek概念/东数西算(算力)/国企改革/智谱AI/核电/海工装备/算力租赁/英伟达概念/风电/高端装备,True,"[""5""]",5,7.7,10.28,37.32,52.68,21.13,6.49,18.14,below_signal,none,none,False,False,,,False,False,1.6362,1.8704,-0.4683,1.7548,25.2952,23.5405,30.5595,32.3143,高波动,0,0.0,0.0,37.32,37.32,,2026-05-15,logistic_regression,tail_risk_phase1_v1,2026-05-15,lightgbm_classifier,barrier_risk_phase2_v1,2026-05-15,lightgbm_regressor,alpha158_qlib_return_phase4_v1,"recent 10d high on 2026-05-07 at 29.60, MA20 touch on 2026-05-15, latest distance=-8.61%, vol5_20=0.74","[{""pattern_id"": 5, ""reason"": ""recent 10d high on 2026-05-07 at 29.60, MA20 touch on 2026-05-15, latest distance=-8.61%, vol5_20=0.74"", ""close"": 27.05, ""distance_to_ma20"": 0.0333, ""volume_ratio_20"": 0.7582, ""recent_high_date"": ""2026-05-07"", ""recent_high_price"": 29.6, ""days_since_recent_high"": 6.0, ""distance_from_recent_high_pct"": -0.0861, ""ma20_slope_short_pct"": 0.0114, ""ma20_slope_long_pct"": 0.1513, ""ma60_slope_short_pct"": 0.0092, ""ma60_slope_long_pct"": 0.0982, ""pullback_volume_contraction_ratio"": 0.7406, ""ma20_touch_date"": ""2026-05-15"", ""ma20_touch_distance"": -0.4095}]",,,,,,,,,,,,,,,,,,,,0.0333,0.7582,2026-05-07,29.6,6.0,-0.0861,0.0114,0.1513,0.0092,0.0982,0.7406,2026-05-15,-0.4095,,,,,,,,,,,,,,,,,,,,,"[""pattern""]",1374.0,False,27.05,1
2026-05-15,14,"=""601918""",新集能源,1.7261,pattern,煤炭-煤炭开采,回购增持再贷款概念/国企改革/央企国企改革/煤化工概念/煤炭概念/超超临界发电/风电,True,"[""1""]",1,28.59,9.24,35.34,69.98,20.36,3.5,33.59,above_signal,none,none,False,False,,,False,False,0.2861,0.2586,0.0549,0.3096,8.5304,8.2208,9.4592,9.7688,中等波动,0,0.0,0.0,35.34,35.34,,2026-05-15,logistic_regression,tail_risk_phase1_v1,2026-05-15,lightgbm_classifier,barrier_risk_phase2_v1,2026-05-15,lightgbm_regressor,alpha158_qlib_return_phase4_v1,"near old high 9.30 from 2024-10-08, distance=4.97%, drawdown=35.62%, vol20=0.96","[{""pattern_id"": 1, ""reason"": ""near old high 9.30 from 2024-10-08, distance=4.97%, drawdown=35.62%, vol20=0.96"", ""close"": 8.84, ""old_high_date"": ""2024-10-08"", ""old_high_price"": 9.3023, ""days_since_old_high"": 388.0, ""max_drawdown_since_old_high"": 0.3563, ""distance_to_old_high_pct"": 0.0497, ""extension_above_old_high_pct"": 0.0, ""volume_ratio_20"": 0.959}]",2024-10-08,9.3023,388.0,0.3563,0.0497,,,,,,,,0.0,,,,,,,,0.959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""pattern""]",563.0,False,8.84,1
2026-05-15,15,"=""002832""",比音勒芬,0.8588,pattern,纺织服饰-服装家纺,体育产业/网红经济,True,"[""1""]",1,7.16,5.22,33.43,34.54,11.51,3.31,35.53,above_signal,none,none,False,False,,,False,False,0.9577,0.788,0.3395,0.7,20.44,19.74,22.54,23.24,中等波动,0,0.0,0.0,33.43,33.43,,2026-05-15,logistic_regression,tail_risk_phase1_v1,2026-05-15,lightgbm_classifier,barrier_risk_phase2_v1,2026-05-15,lightgbm_regressor,alpha158_qlib_return_phase4_v1,"near old high 22.16 from 2024-12-16, distance=4.60%, drawdown=33.48%, vol20=1.19","[{""pattern_id"": 1, ""reason"": ""near old high 22.16 from 2024-12-16, distance=4.60%, drawdown=33.48%, vol20=1.19"", ""close"": 21.14, ""old_high_date"": ""2024-12-16"", ""old_high_price"": 22.1594, ""days_since_old_high"": 339.0, ""max_drawdown_since_old_high"": 0.3348, ""distance_to_old_high_pct"": 0.046, ""extension_above_old_high_pct"": 0.0, ""volume_ratio_20"": 1.1908}]",2024-12-16,22.1594,339.0,0.3348,0.046,,,,,,,,0.0,,,,,,,,1.1908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""pattern""]",2238.0,False,21.14,1
2026-05-15,16,"=""600188""",兖矿能源,4.0846,pattern,煤炭-煤炭开采,参股银行/国企改革/小金属概念/煤化工概念/煤炭概念/风电/高股息精选,True,"[""5""]",5,36.16,21.06,16.4,51.73,33.45,4.83,24.33,below_signal,none,bearish,False,False,,,False,True,0.3929,0.5194,-0.253,1.0226,20.1274,19.1049,23.1951,24.2177,中等波动,1,12.32,0.0,17.3856,17.3856,,2026-05-15,logistic_regression,tail_risk_phase1_v1,2026-05-15,lightgbm_classifier,barrier_risk_phase2_v1,2026-05-15,lightgbm_regressor,alpha158_qlib_return_phase4_v1,"recent 10d high on 2026-04-29 at 23.60, MA20 touch on 2026-05-15, latest distance=-10.38%, vol5_20=0.90","[{""pattern_id"": 5, ""reason"": ""recent 10d high on 2026-04-29 at 23.60, MA20 touch on 2026-05-15, latest distance=-10.38%, vol5_20=0.90"", ""close"": 21.15, ""distance_to_ma20"": 0.0174, ""volume_ratio_20"": 1.1201, ""recent_high_date"": ""2026-04-29"", ""recent_high_price"": 23.6, ""days_since_recent_high"": 9.0, ""distance_from_recent_high_pct"": -0.1038, ""ma20_slope_short_pct"": 0.004, ""ma20_slope_long_pct"": 0.0586, ""ma60_slope_short_pct"": 0.0047, ""ma60_slope_long_pct"": 0.0631, ""pullback_volume_contraction_ratio"": 0.9006, ""ma20_touch_date"": ""2026-05-15"", ""ma20_touch_distance"": -0.6485}]",,,,,,,,,,,,,,,,,,,,0.0174,1.1201,2026-04-29,23.6,9.0,-0.1038,0.004,0.0586,0.0047,0.0631,0.9006,2026-05-15,-0.6485,,,,,,,,,,,,,,,,,,,,,"[""pattern""]",1416.0,False,21.15,1
2026-05-15,17,"=""603290""",斯达半导,0.3937,pattern,,MCU芯片/专精特新/人民币贬值受益/低空经济/储能/光伏概念/数据中心/新能源汽车/汽车芯片/第三代半导体/芯片概念/高压快充,True,"[""2""]",2,10.91,3.08,15.33,59.33,41.88,4.58,25.71,above_signal,none,none,False,False,,,False,False,4.6125,2.4289,4.3672,5.7181,119.2319,113.5138,136.3862,142.1044,中等波动,0,0.0,0.0,15.33,15.33,,2026-05-15,logistic_regression,tail_risk_phase1_v1,2026-05-15,lightgbm_classifier,barrier_risk_phase2_v1,2026-05-15,lightgbm_regressor,alpha158_qlib_return_phase4_v1,"price above old high 117.06 from 2026-01-28, post_breakout=2d, vol_ratio=1.14","[{""pattern_id"": 2, ""reason"": ""price above old high 117.06 from 2026-01-28, post_breakout=2d, vol_ratio=1.14"", ""close"": 124.95, ""old_high_date"": ""2026-01-28"", ""old_high_price"": 117.06, ""days_since_old_high"": 67.0, ""max_drawdown_since_old_high"": 0.1799, ""distance_to_old_high_pct"": -0.0674, ""breakout_date"": ""2026-05-13"", ""breakout_volume_ratio"": 1.1386, ""breakout_close_position"": 1.0, ""breakout_upper_shadow_pct"": 0.0, ""breakout_body_pct"": 0.9099, ""breakout_turnover"": 0.0644, ""breakout_turnover_state"": ""low"", ""extension_above_old_high_pct"": 0.0674, ""days_after_breakout"": 2.0, ""post_breakout_max_high_extension_pct"": 0.0849, ""volume_ratio_20"": 1.7487}]",2026-01-28,117.06,67.0,0.1799,-0.0674,2026-05-13,1.1386,1.0,0.0,0.9099,0.0644,low,0.0674,2.0,0.0849,,,,,,1.7487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""pattern""]",1060.0,False,124.95,1
2026-05-15,18,"=""603226""",菲林格尔,4.0659,pattern,,智能家居/股权转让(并购重组),True,"[""1""]",1,12.39,7.0,12.62,57.39,28.94,4.58,25.71,above_signal,none,bullish,False,False,,,True,False,2.3395,1.7821,1.1149,2.1667,45.1833,43.0167,51.6833,53.85,中等波动,1,0.0,0.0,12.62,12.62,,2026-05-15,logistic_regression,tail_risk_phase1_v1,2026-05-15,lightgbm_classifier,barrier_risk_phase2_v1,2026-05-15,lightgbm_regressor,alpha158_qlib_return_phase4_v1,"near old high 49.70 from 2025-10-14, distance=4.73%, drawdown=45.01%, vol20=1.16","[{""pattern_id"": 1, ""reason"": ""near old high 49.70 from 2025-10-14, distance=4.73%, drawdown=45.01%, vol20=1.16"", ""close"": 47.35, ""old_high_date"": ""2025-10-14"", ""old_high_price"": 49.7, ""days_since_old_high"": 141.0, ""max_drawdown_since_old_high"": 0.4501, ""distance_to_old_high_pct"": 0.0473, ""extension_above_old_high_pct"": 0.0, ""volume_ratio_20"": 1.1571}]",2025-10-14,49.7,141.0,0.4501,0.0473,,,,,,,,0.0,,,,,,,,1.1571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""pattern""]",1147.0,False,47.35,1
2026-05-15,19,"=""600854""",春兰股份,-2.7397,pattern,家用电器-白色家电,军民融合/家用电器/物业管理/超超临界发电,True,"[""3""]",3,5.12,9.04,12.01,24.97,37.52,4.13,28.48,above_signal,none,none,False,False,,,False,False,0.1829,0.1288,0.1081,0.2346,5.4454,5.2108,6.1492,6.3839,中等波动,1,0.0,0.0,12.01,12.01,,2026-05-15,logistic_regression,tail_risk_phase1_v1,2026-05-15,lightgbm_classifier,barrier_risk_phase2_v1,2026-05-15,lightgbm_regressor,alpha158_qlib_return_phase4_v1,"post breakout 4d from 2026-05-11, below old high 5.79, vol_ratio=1.20","[{""pattern_id"": 3, ""reason"": ""post breakout 4d from 2026-05-11, below old high 5.79, vol_ratio=1.20"", ""close"": 5.68, ""old_high_date"": ""2025-11-14"", ""old_high_price"": 5.79, ""days_since_old_high"": 118.0, ""max_drawdown_since_old_high"": 0.2038, ""distance_to_old_high_pct"": 0.019, ""breakout_date"": ""2026-05-11"", ""breakout_volume_ratio"": 1.198, ""breakout_close_position"": 1.0, ""breakout_upper_shadow_pct"": 0.0, ""breakout_body_pct"": 0.9444, ""breakout_turnover"": 0.0438, ""breakout_turnover_state"": ""low"", ""extension_above_old_high_pct"": 0.0, ""days_after_breakout"": 4.0, ""post_breakout_max_high_extension_pct"": 0.0906, ""volume_ratio_20"": 1.8457}]",2025-11-14,5.79,118.0,0.2038,0.019,2026-05-11,1.198,1.0,0.0,0.9444,0.0438,low,0.0,4.0,0.0906,,,,,,1.8457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""pattern""]",2612.0,False,5.68,1
